,Price,Year,Mileage,City,State,Make,Model,Original Price,Vehicle Type,serviceTime,DepreciationRate,Gdp,Population
111,14900,2016,10038,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.46884833228445566,490074,"2,340,814"
112,29998,2013,73541,HOUSTON, TX,GMC,SIERRA,35900,Truck,5,0.8355988857938719,490074,"2,340,814"
113,15995,2015,33961,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.5822715689843465,490074,"2,340,814"
114,16995,2014,34380,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,4,0.6186749180924646,490074,"2,340,814"
115,8995,2008,105635,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,10,0.3274481252275209,490074,"2,340,814"
116,31752,2014,30789,HOUSTON, TX,FORD,F-1504WD,34695,Truck,4,0.9151750972762646,490074,"2,340,814"
117,28492,2015,41252,HOUSTON, TX,JEEP,GRAND,31695,SUV,3,0.8989430509544092,490074,"2,340,814"
118,15295,2010,16355,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,8,0.4003926701570681,490074,"2,340,814"
119,17395,2016,41533,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,2,0.71,490074,"2,340,814"
120,25991,2016,15897,HOUSTON, TX,HYUNDAI,SANTA,29800,SUV,2,0.8721812080536913,490074,"2,340,814"
121,18295,2008,122191,HOUSTON, TX,FORD,F-1504WD,34695,Truck,10,0.527309410577893,490074,"2,340,814"
122,27998,2016,19916,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,2,0.7329319371727748,490074,"2,340,814"
123,29240,2015,49897,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.7654450261780105,490074,"2,340,814"
124,17050,2013,32009,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,5,0.55,490074,"2,340,814"
125,17492,2010,146304,HOUSTON, TX,FORD,F-1504WD,34695,Truck,8,0.5041648652543594,490074,"2,340,814"
126,13995,2015,33490,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,3,0.4403713027061045,490074,"2,340,814"
127,19435,2017,20299,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,1,0.6115481434864695,490074,"2,340,814"
128,28978,2015,32750,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.758586387434555,490074,"2,340,814"
129,21994,2016,45893,HOUSTON, TX,JEEP,GRAND,31695,SUV,2,0.6939264868275753,490074,"2,340,814"
130,29545,2016,32769,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,2,0.7734293193717278,490074,"2,340,814"
131,6995,2004,137433,HOUSTON, TX,JEEP,GRAND,31695,SUV,14,0.22069727086291213,490074,"2,340,814"
