,Unnamed: 0,Year,Mileage,City,State,Vehicle Type,serviceTime,DepreciationRate,Gdp,Population
239,347935,2014,45591,COLUMBUS, MS,SUV,4,0.7416129032258064,13820,194058
240,276582,2016,35427,AURORA, CO,SUV,2,0.9906925382552453,208868,3703
241,347662,2014,20647,BALTIMORE, MD,Sedan,4,0.4999183673469388,192177,611648
242,66791,2006,254786,MESA, AZ,Truck,12,0.30138763197586727,242950,496401
243,135351,2015,31308,SAN ANGELO, TX,Truck,3,0.8376701570680628,5142,100119
244,78540,2011,56596,SPRINGFIELD, MO,Truck,7,0.574607329842932,10250,2022
245,249159,2011,52080,MADISON, TN,Sedan,7,0.42195555555555553,49853,25627
246,198855,2014,51172,LAWRENCE, KS,Truck,4,0.9190807799442897,4558,48704
247,195424,2014,26089,SPRINGFIELD, NJ,Sedan,4,0.48877777777777776,10250,5197
248,220629,2015,38214,MADISON, WI,Sedan,3,0.4905915670232851,49853,1417
249,64178,2016,8517,LINCOLN, NE,Truck,2,0.9921465968586387,20245,284736
250,39785,2017,18045,SALEM, NH,SUV,1,0.6709731543624161,17332,4774
251,349615,2015,43984,DALLAS, TX,Sedan,3,0.5662995594713657,535499,13237
252,94160,2013,36618,LINCOLN, NE,Truck,5,0.7328534031413613,20245,150
253,278013,2016,12476,CHARLESTON, SC,Sedan,2,0.8209777777777778,12817,2463
254,169645,2007,149277,MACON, GA,Sedan,11,0.17733333333333334,9811,2537
255,345878,2008,110110,COLUMBUS, OH,Sedan,10,0.1988888888888889,13820,4065
256,37859,2013,96765,ARLINGTON, TX,Truck,5,0.5471204188481675,535499,19212
257,213557,2015,34814,LOUISVILLE, KY,SUV,3,0.5161290322580645,76063,9335
258,91426,2015,28249,CANTON, GA,Truck,3,0.9424083769633508,16771,39
259,239521,2016,7339,RICHMOND, VA,Sedan,2,0.5034612964128382,24395,461
260,348058,2015,41001,AUBURN, WA,Sedan,3,0.5285714285714286,5484,309
261,149186,2015,25222,PITTSBURGH, PA,Sedan,3,0.4562617998741347,147367,302407
262,188195,2016,37541,CINCINNATI, OH,Sedan,2,0.5933745904623225,138033,301301
263,156268,2015,22520,ATHENS, AL,Sedan,3,0.7997777777777778,9947,1911
264,238175,2014,31111,BURLINGTON, NC,Sedan,4,0.5442300691663633,5441,2553
265,179555,2016,19938,FLORENCE, KY,Sedan,2,0.743210775391336,8555,38
266,225481,2016,22355,ROCHESTER, NY,Truck,2,0.6335376044568245,12567,208046
267,97214,2016,45169,SAN ANTONIO, TX,Truck,2,0.9031413612565445,129298,1409
268,56172,2013,51137,MANCHESTER, TN,Sedan,5,0.502475427739352,28442,5016
269,221650,2013,68597,VINELAND, NJ,SUV,5,0.9803886610804065,5828,60392
270,336435,2014,20960,AUBURN, MA,SUV,4,0.6027181208053691,5484,1373
271,135170,2016,18097,HENDERSON, NV,Sedan,2,0.48744493392070487,112288,914
272,249572,2017,1762,AUBURN, IN,Truck,1,0.8538481675392671,5484,23033
273,291350,2011,104769,CHARLOTTE, NC,SUV,7,0.3523489932885906,174029,9057
274,305051,2016,31420,DOTHAN, AL,SUV,2,0.7044630872483222,5295,68202
275,70680,2013,41295,COLUMBUS, GA,Sedan,5,0.48213333333333336,13820,879170
276,230872,2015,19139,COLUMBUS, OH,Truck,3,0.7591623036649214,13820,23128
277,28535,2013,55079,ALBANY, NY,Sedan,5,0.6172187841281398,5482,2020
278,36102,2010,116326,ALBUQUERQUE, NM,Truck,8,0.6406406685236768,44050,558545
279,318359,2002,125477,FLORENCE, KY,Sedan,16,0.2547506370586094,8555,4427
280,337754,2017,3594,GULFPORT, MS,Sedan,1,0.5976400251730648,17429,71822
281,83373,2013,66850,JACKSONVILLE, FL,SUV,5,0.6594100015775359,3937,2894
282,191877,2011,109190,ROCHESTER, NY,SUV,7,0.7129256551970048,12567,208046
283,178714,2015,41439,HOUSTON, TX,Truck,3,0.8328690807799443,490074,960
284,88906,2014,34220,COLUMBIA, MO,Sedan,4,0.6114670549690572,192177,6037
285,31840,2013,27407,DENTON, TX,Sedan,5,0.5444222222222223,31196,142
286,61438,2005,152149,KILLEEN, TX,Truck,13,0.3611256544502618,17556,145482
287,250653,2016,45182,COLUMBIA, MO,Sedan,2,0.5551111111111111,192177,4881
288,180826,2014,58816,BRUNSWICK, ME,Truck,4,0.7740308401787,4044,6266
289,325851,2012,38004,LAKEWOOD, CO,Sedan,6,0.47211503458318166,208868,154958
290,130694,2014,77937,BURLINGTON, NC,Truck,4,0.5757853403141361,5441,1206
291,359210,2008,110652,WASHINGTON, NC,Truck,10,0.5764231157227266,529990,13566
292,121251,2016,46967,LAFAYETTE, IN,SUV,2,0.532258064516129,22113,28328
293,39210,2013,37029,MADISON, NJ,Sedan,5,0.578376410629778,49853,11777
294,7131,2015,25835,CHARLOTTE, NC,Sedan,3,0.7642883145249363,174029,9057
295,304272,2010,78409,LAKELAND, FL,SUV,8,0.8522374754858264,21154,1826
296,198341,2007,192970,MIDLAND, TX,Truck,11,0.34,6355,162
297,276356,2015,38447,MIAMI, FL,Truck,3,0.6806020942408377,344881,463347
298,323761,2014,40530,ELGIN, IL,SUV,4,0.8814955040227165,679699,112456
299,173245,2012,55253,SPRINGFIELD, IL,Sedan,6,0.35897959183673467,10250,167376
300,273571,2006,107664,LAS VEGAS, NV,Truck,12,0.7541478129713424,112288,641676
301,331689,2014,67106,AUBURN, MA,Truck,4,0.7048429319371727,5484,1373
302,217711,2014,78817,COLUMBUS, GA,Sedan,4,0.5344897959183673,13820,4065
303,241185,2017,18207,REDMOND, OR,SUV,1,0.6610738255033557,10149,30011
304,232748,2015,12305,KILLEEN, TX,Truck,3,0.8820891364902507,17556,145482
305,81030,2008,98556,BRYAN, TX,Truck,10,0.38983286908077996,10197,8357
306,76242,2012,74787,TAMPA, FL,Truck,6,0.5994240837696335,146349,103
307,318059,2015,45629,CHARLESTON, WV,Sedan,3,0.3996224040276904,12817,20996
308,78641,2015,23182,FAIRFIELD, OH,Sedan,3,0.7220816326530612,21421,116266
309,147667,2016,43083,FRANKLIN, TN,SUV,2,0.5536912751677853,133251,6137
310,126535,2016,8931,PORTLAND, OR,Truck,2,0.9222942787145122,32143,66882
311,132671,2017,21444,TAMPA, FL,Sedan,1,0.5380742605412209,146349,103
312,94158,2012,62689,PHILADELPHIA, PA,Sedan,6,0.39679650527848565,444975,7271
313,67449,2014,53063,FRANKLIN, TN,Sedan,4,0.6039591836734693,133251,8176
314,259391,2007,141465,AURORA, OH,SUV,11,0.22388389335857392,208868,15982
315,124085,2015,37986,MADISON, TN,Truck,3,0.974874651810585,49853,636
316,275038,2014,77686,JACKSONVILLE, FL,SUV,4,0.4724516129032258,3937,18454
317,228174,2006,42299,ROCHESTER, NY,Truck,12,0.6636199095022625,12567,5990
318,342770,2014,31139,DULUTH, GA,Truck,4,0.9884958217270196,13317,86066
319,74646,2005,257378,GREENVILLE, TX,Truck,13,0.27122171945701357,8216,30686
320,25810,2016,37408,ORLANDO, FL,Sedan,2,0.5164254247954688,132448,280257
321,292469,2013,55574,SPRINGFIELD, FL,Sedan,5,0.5638150709865307,10250,5197
322,313788,2014,43149,AUBURN, MA,Truck,4,0.8617956477878657,5484,13169
323,154801,2016,14074,HOUSTON, TX,Truck,2,0.9160994764397906,490074,960
324,67125,2008,116425,ASHEVILLE, NC,Sedan,10,0.3636694575900983,20179,91902
